Model,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.7853589196872779,0.8307380507426064,0.6208053691275168,0.4946524064171123,0.5505952380952381,0.4165513514969001
Decision Tree,0.7882018479033405,0.8124964409771653,0.6428571428571429,0.4572192513368984,0.534375,0.4120950733261994
KNN,0.7398720682302772,0.756661196556419,0.510752688172043,0.5080213903743316,0.5093833780160858,0.33240472899486634
Naive Bayes,0.7377398720682303,0.8126892753052994,0.5046382189239332,0.7272727272727273,0.5958378970427163,0.42601158232816627
Random Forest,0.7917555081734187,0.8129066992457459,0.6431095406360424,0.48663101604278075,0.5540334855403348,0.4285486325890265
